schluessel;1;Gelb;Stargate;Maxm@gmail.com;30€;2025-07-16;2025-08-15;
schluessel;2;Rot;Atlantis;dieHard@yiep.pie;Leben;2025-07-17;2025-07-10;
schluessel;3;Blau;Auto;null;null;null;null;
gegenstand;4;Fantasy;der kleine Hobbit;2;
1;Böse@dark.de;2025-07-10;2025-07-15;Schwert;SEHR_GUT;
2;null;null;null;null;WIE_NEU;
gegenstand;5;Fantasy;Pipi Langstrupf;1;
1;null;null;null;null;GUT;
gegenstand;6;Drama;Forest Gump;4;
1;null;null;null;null;SEHR_GUT;
2;null;2025-07-13;2025-07-21;Niere;GEBRAUCHT;
3;null;null;null;null;WIE_NEU;
4;null;null;null;null;GEBRAUCHT;
gegenstand;7;Einmalig;Letztes Einhorn;2;
1;null;null;null;null;GEBRAUCHT;
2;null;null;null;null;SCHLECHT;
gegenstand;8;Stein;Pailantier;1;
1;null;null;null;null;WIE_NEU;
schluessel;9;Rose;Schloß;null;null;null;null;
